name        ,type ,op                ,1              ,2              ,3                ,4             ,5                ,6              ,7
ABS.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,ABS 6 000101     ,               ,
ADD         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,ADD 6 100000     ,               ,
ADD.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,ADD 6 000000     ,               ,
ADDU        ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,ADDU 6 100001    ,               ,
ALGIN       ,R    ,SPECIAL3 6 011111 ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,ALIGN 3 010   ,bp 2 - 4         ,BSHFL 6 100000 ,
AND         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,AND 6 100100     ,               ,
BITSWAP     ,R    ,SPECIAL3 6 011111 ,0 5 0          ,rt 5 - 2       ,rd 5 - 1         ,BITSWAP 5 0   ,BSHFL 6 100000   ,               ,
CEIL.L.fmt  ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CEIL.L 6 001010  ,               ,
CEIL.W.fmt  ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CEIL.W 6 001110  ,               ,
CFC1        ,R    ,COP1 6 010001     ,CF 5 00010     ,rt 5 - 1       ,fs 5 - 2         ,0 11 0        ,                 ,               ,
CLASS.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CLASS 6 011011   ,               ,
CLO         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,0 5 0          ,rd 5 - 1         ,1 5 00001     ,CLO 6 010001     ,               ,
CLZ         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,0 5 0          ,rd 5 - 1         ,1 5 00001     ,CLZ 6 010000     ,               ,
CMP.condn.D ,R    ,COP1 6 010001     ,D 5 10101      ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,0 1 0            ,condn 5 ?      ,
CMP.condn.S ,R    ,COP1 6 010001     ,S 5 10100      ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,0 1 0            ,condn 5 ?      ,
CTC1        ,R    ,COP1 6 010001     ,CT 5 00110     ,rt 5 - 1       ,fs 5 - 2         ,0 11 0        ,                 ,               ,
CVT.D.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SWL    ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CVT.D 6 100001   ,               ,
CVT.L.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CVT.L 6 100101   ,               ,
CVT.S.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? DWL    ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CVT.S 6 100000   ,               ,
CVT.W.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,CVT.W 6 100100   ,               ,
DERET       ,R    ,COP0 6 010000     ,CO 1 1         ,0 19 0         ,DERET 6 011111   ,              ,                 ,               ,
DI          ,R    ,COP0 6 010000     ,MFMC0 5 01011  ,rt 5 - 1       ,12 5 01100       ,0 5 0         ,sc 1 0           ,0 2 0          ,0 3 0
DIV         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,DIV 5 00010   ,SOP32 6 011010   ,               ,
DIV.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,DIV 6 000011     ,               ,
