name,type,op,rd,rs,rt,func,is_unsigned
add,R,,,,,100000,False
addu,R,,,,,100001,True
sub,R,,,,,100010,False
subu,R,,,,,100011,True
and,R,,,,,100100,False
or,R,,,,,100101,False
xor,R,,,,,100110,False
nor,R,,,,,100111,False
slt,R,,,,,101010,False
sltu,R,,,,,101011,True
sll,R,,,0,,000000,False
srl,R,,,0,,000010,False
sra,R,,,0,,000011,False
sllv,R,,,,,000100,False
srlv,R,,,,,000110,False
srav,R,,,,,000111,False
jr,R,,0,,0,001000,False
addi,I,001000,,,,,False
addiu,I,001001,,,,,True
andi,I,001100,,,,,False
ori,I,001101,,,,,False
xori,I,001110,,,,,False
lui,I,001111,,0,,,False
lw,I,100011,,,,,False
sw,I,101011,,,,,False
beq,I,000100,,,,,False
bne,I,000101,,,,,False
slti,I,001010,,,,,False
sltiu,I,001011,,,,,True
j,J,000010,,,,,False
jal,J,000011,,,,,False
